site_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,acceptable_values_json,evidence_class,expected_source_type,source_url,source_quote,match_rule,truth_scope,priority,review_status,notes
anvil,/aliases,site,array,,,"[""Anvil""]",,identity,measurement,,,set,site,normal,unreviewed,
anvil,/scheduler_type,scheduler,string,,,"""slurm""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/scheduler_version,scheduler,string,,,"""24.05.2""",,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/submit_command,slurm,string,,,"""sbatch""",,configuration,measurement,,,exact,site,high,unreviewed,
anvil,/slurm/options,slurm,array,,,"[""account"", ""partition""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/unmapped_options,slurm,array,,,"[{""documented_name"":""site-license"",""documented_syntax"":[""--site-license={license}""],""requirement"":""required"",""status"":""needs_mapping""}]",,policy,documentation,,,manual,site,high,unreviewed,Leave expected_state silent when no unknown required options are documented.
anvil,/slurm/options/account/syntax,slurm,array,,,"[""-A {account}"", ""--account={account}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/account/required,slurm,boolean,,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/account/allowed_values,slurm,array,,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/partition/syntax,slurm,array,,,"[""-p {partition}"", ""--partition={partition}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/partition/required,slurm,boolean,,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/partition/allowed_values,slurm,array,,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/nodes/syntax,slurm,array,,,"[""--nodes={count}"", ""-N {count}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/nodes/required,slurm,boolean,,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/nodes/allowed_values,slurm,array,,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/cpus-per-task/syntax,slurm,array,,,"[""--cpus-per-task={count}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/cpus-per-task/required,slurm,boolean,,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/cpus-per-task/allowed_values,slurm,array,,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/time/syntax,slurm,array,,,"[""-t {time}"", ""--time={time}""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/options/time/required,slurm,boolean,,,true,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/options/time/allowed_values,slurm,array,,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,normal,unreviewed,
anvil,/slurm/partitions,slurm,array,,,"[""shared"", ""gpu""]",,configuration,measurement,,,set,site,high,unreviewed,
anvil,/slurm/partitions/wholenode/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wholenode/visible_walltime_seconds,slurm,integer,,,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wholenode/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/wholenode/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/standard/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/standard/visible_walltime_seconds,slurm,integer,,,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/standard/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/standard/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/shared/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/shared/visible_walltime_seconds,slurm,integer,,,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/shared/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/shared/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wide/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/wide/visible_walltime_seconds,slurm,integer,,,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/wide/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/wide/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/highmem/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/highmem/visible_walltime_seconds,slurm,integer,,,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/highmem/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/highmem/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/debug/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/debug/visible_walltime_seconds,slurm,integer,,,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
anvil,/slurm/partitions/debug/maximum_walltime_seconds,slurm,integer,,,3600,,policy,documentation,,,exact,site,high,unreviewed,
anvil,/slurm/partitions/debug/node_count,slurm,integer,,,4,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu/available,slurm,boolean,,,true,,configuration,measurement,,,exact,run_snapshot,normal,unreviewed,
anvil,/slurm/partitions/gpu/visible_walltime_seconds,slurm,integer,,,3600,,configuration,measurement,,,exact,site,normal,unreviewed,
