site_id,field_id,field_path,section,value_type,expected_state,expected_value_json,example_value_json,evidence_class,source,suggested_method,match_rule,notes
notre-dame-crc,1,/scheduler_type,scheduler,string,,,"""htcondor""",configuration,,measurement: command -v condor_status; command -v sinfo,exact_trimmed_lower,
notre-dame-crc,2,/htcondor/version,htcondor,string,,,"""23.7.2 2024-05-16 BuildID: 733409 PackageID: 23.7.2-1 GitSHA: 585ec167""",configuration,,measurement: condor_version,exact_trimmed_lower,
notre-dame-crc,3,/htcondor/submit_command,htcondor,string,,,"""condor_submit""",configuration,,measurement: command -v condor_submit,exact_trimmed_lower,
notre-dame-crc,4,/htcondor/collector_host,htcondor,string,,,"""condor-central-mgr.crc.nd.edu""",configuration,,measurement: condor_config_val COLLECTOR_HOST,exact_trimmed_lower,
notre-dame-crc,5,/htcondor/file_transfer_supported,htcondor,boolean,,,true,configuration,,"measurement: condor_status ClassAds, HasFileTransfer",exact_trimmed_lower,
notre-dame-crc,6,/htcondor/guaranteed_runtime,htcondor,boolean,,,false,policy,,"doc: Notre Dame CRC HTCondor guide, job eviction and displacement policy",exact_trimmed_lower,
notre-dame-crc,7,/htcondor/preemptible,htcondor,boolean,,,true,policy,,"doc: Notre Dame CRC HTCondor guide, job eviction and displacement policy",exact_trimmed_lower,
notre-dame-crc,8,/htcondor/maximum_walltime,htcondor,string,,,"""not_applicable""",policy,,"doc: Notre Dame CRC HTCondor guide, whether a walltime-cap concept applies",exact_trimmed_lower,
notre-dame-crc,9,/htcondor/submit_attributes/universe/syntax,htcondor,array,,,"[""universe = vanilla""]",policy,,"doc: Notre Dame CRC HTCondor guide, universe submit syntax",set,
notre-dame-crc,9,/htcondor/submit_attributes/universe/required,htcondor,boolean,,,false,policy,,"doc: Notre Dame CRC HTCondor guide, whether universe is mandatory",exact_trimmed_lower,
